date,20-34_Graham,35-44_Graham,45-54_Graham,55-64_Graham,65+_Graham,<20_Graham
7/19/2021,2850,2260,2258,2875,4916,759
7/2/2021,2752,2206,2227,2840,4879,638
7/20/2021,2863,2264,2261,2876,4920,783
7/21/2021,2868,2275,2270,2883,4925,804
7/22/2021,2884,2292,2279,2891,4931,829
7/23/2021,2900,2300,2291,2905,4937,865
7/24/2021,2911,2302,2298,2909,4939,875
7/25/2021,2911,2302,2298,2910,4941,877
7/26/2021,2938,2314,2309,2916,4947,910
7/27/2021,2963,2323,2319,2920,4952,934
7/28/2021,2968,2334,2326,2934,4959,950
7/29/2021,2989,2348,2335,2943,4964,969
7/3/2021,2760,2208,2228,2841,4882,641
7/30/2021,3004,2358,2341,2948,4966,990
7/31/2021,3009,2361,2341,2951,4966,1003
7/4/2021,2760,2208,2228,2841,4882,641
7/5/2021,2762,2211,2229,2842,4885,644
7/6/2021,2765,2216,2229,2845,4885,649
7/7/2021,2770,2217,2234,2850,4888,662
7/8/2021,2776,2221,2237,2854,4894,670
7/9/2021,2788,2225,2237,2856,4896,685
8/1/2021,3011,2362,2342,2952,4967,1005
8/10/2021,3124,2437,2412,2994,4996,1167
8/11/2021,3144,2449,2418,2997,5000,1172
8/12/2021,3167,2468,2430,3003,5010,1190
8/13/2021,3180,2482,2439,3009,5022,1240
8/14/2021,3184,2485,2441,3012,5022,1241
8/15/2021,3187,2485,2442,3012,5024,1241
8/16/2021,3202,2494,2450,3015,5035,1249
8/17/2021,3230,2509,2457,3022,5038,1262
8/18/2021,3261,2522,2464,3028,5045,1276
8/19/2021,3290,2541,2484,3040,5062,1302
8/2/2021,3021,2372,2346,2957,4971,1031
8/20/2021,3307,2562,2497,3048,5072,1343
8/21/2021,3324,2569,2504,3054,5075,1354
8/22/2021,3326,2571,2505,3056,5076,1355
8/23/2021,3344,2577,2517,3068,5081,1366
8/24/2021,3353,2582,2524,3072,5084,1371
8/25/2021,3365,2588,2530,3077,5090,1376
8/26/2021,3388,2607,2544,3086,5093,1402
8/27/2021,3403,2622,2550,3093,5100,1425
8/28/2021,3409,2625,2554,3095,5101,1430
8/29/2021,3412,2627,2556,3096,5101,1431
8/3/2021,3037,2373,2349,2960,4974,1039
8/30/2021,3432,2648,2560,3101,5103,1439
8/31/2021,3444,2653,2562,3101,5108,1441
8/4/2021,3064,2391,2364,2972,4983,1072
8/5/2021,3079,2405,2388,2982,4985,1085
8/6/2021,3099,2416,2399,2984,4989,1120
8/7/2021,3102,2418,2402,2989,4990,1127
8/8/2021,3105,2420,2405,2989,4992,1128
8/9/2021,3114,2433,2410,2991,4995,1153
9/1/2021,3462,2659,2569,3108,5112,1445
9/10/2021,3550,2708,2611,3139,5139,1546
9/11/2021,3560,2713,2612,3139,5140,1548
9/12/2021,3564,2714,2612,3139,5140,1553
9/13/2021,3576,2726,2619,3143,5145,1557
9/14/2021,3587,2734,2624,3145,5150,1567
9/15/2021,3597,2742,2630,3148,5152,1570
9/16/2021,3609,2750,2636,3151,5155,1579
9/17/2021,3624,2757,2643,3156,5159,1595
9/18/2021,3632,2762,2646,3160,5160,1596
9/19/2021,3633,2762,2646,3161,5160,1600
9/2/2021,3471,2666,2574,3113,5117,1465
9/20/2021,3642,2768,2650,3163,5162,1605
9/21/2021,3655,2772,2652,3164,5162,1609
9/22/2021,3669,2777,2660,3166,5165,1615
9/23/2021,3691,2789,2670,3171,5170,1622
9/24/2021,3705,2797,2676,3175,5175,1624
9/25/2021,3707,2798,2676,3176,5178,1624
9/26/2021,3707,2798,2676,3176,5178,1625
9/27/2021,3717,2802,2679,3178,5180,1626
9/28/2021,3723,2807,2680,3180,5181,1627
9/29/2021,3731,2814,2683,3181,5185,1631
9/3/2021,3480,2674,2578,3126,5126,1490
9/30/2021,3746,2817,2690,3183,5187,1638
9/4/2021,3487,2677,2579,3126,5126,1496
9/5/2021,3487,2678,2579,3126,5126,1497
9/6/2021,3488,2678,2579,3126,5126,1498
9/7/2021,3500,2685,2585,3127,5128,1505
9/8/2021,3508,2691,2593,3132,5129,1517
9/9/2021,3526,2701,2601,3136,5133,1532
