"date","cHeader","n"
2020-03-23,2020-05-14,4
2020-03-24,2020-05-14,1
2020-03-25,2020-05-14,4
2020-03-26,2020-05-14,7
2020-03-27,2020-05-14,7
2020-03-28,2020-05-14,4
2020-03-29,2020-05-14,6
2020-03-30,2020-05-14,8
2020-03-31,2020-05-14,12
2020-04-01,2020-05-14,10
2020-04-02,2020-05-14,6
2020-04-03,2020-05-14,11
2020-04-04,2020-05-14,6
2020-04-05,2020-05-14,11
2020-04-06,2020-05-14,12
2020-04-07,2020-05-14,15
2020-04-08,2020-05-14,10
2020-04-09,2020-05-14,12
2020-04-10,2020-05-14,16
2020-04-11,2020-05-14,20
2020-04-12,2020-05-14,17
2020-04-13,2020-05-14,14
2020-04-14,2020-05-14,17
2020-04-15,2020-05-14,14
2020-04-16,2020-05-14,16
2020-04-17,2020-05-14,14
2020-04-18,2020-05-14,14
2020-04-19,2020-05-14,23
2020-04-20,2020-05-14,22
2020-04-21,2020-05-14,9
2020-04-22,2020-05-14,12
2020-04-23,2020-05-14,20
2020-04-24,2020-05-14,12
2020-04-25,2020-05-14,14
2020-04-26,2020-05-14,13
2020-04-27,2020-05-14,20
2020-04-28,2020-05-14,13
2020-04-29,2020-05-14,15
2020-04-30,2020-05-14,20
2020-05-01,2020-05-14,13
2020-05-02,2020-05-14,11
2020-05-03,2020-05-14,14
2020-05-04,2020-05-14,14
2020-05-05,2020-05-14,15
2020-05-06,2020-05-14,12
2020-05-07,2020-05-14,16
2020-05-08,2020-05-14,16
2020-05-09,2020-05-14,3
2020-05-10,2020-05-14,10
2020-05-11,2020-05-14,5
2020-05-12,2020-05-14,4
2020-05-13,2020-05-14,1
2020-03-17,2020-05-15,1
2020-03-19,2020-05-15,2
2020-03-20,2020-05-15,2
2020-03-21,2020-05-15,0
2020-03-22,2020-05-15,1
2020-03-23,2020-05-15,4
2020-03-24,2020-05-15,1
2020-03-25,2020-05-15,4
2020-03-26,2020-05-15,7
2020-03-27,2020-05-15,7
2020-03-28,2020-05-15,6
2020-03-29,2020-05-15,6
2020-03-30,2020-05-15,7
2020-03-31,2020-05-15,12
2020-04-01,2020-05-15,10
2020-04-02,2020-05-15,6
2020-04-03,2020-05-15,10
2020-04-04,2020-05-15,6
2020-04-05,2020-05-15,11
2020-04-06,2020-05-15,12
2020-04-07,2020-05-15,15
2020-04-08,2020-05-15,10
2020-04-09,2020-05-15,12
2020-04-10,2020-05-15,16
2020-04-11,2020-05-15,20
2020-04-12,2020-05-15,18
2020-04-13,2020-05-15,14
2020-04-14,2020-05-15,17
2020-04-15,2020-05-15,14
2020-04-16,2020-05-15,16
2020-04-17,2020-05-15,14
2020-04-18,2020-05-15,15
2020-04-19,2020-05-15,22
2020-04-20,2020-05-15,22
2020-04-21,2020-05-15,9
2020-04-22,2020-05-15,12
2020-04-23,2020-05-15,21
2020-04-24,2020-05-15,12
2020-04-25,2020-05-15,13
2020-04-26,2020-05-15,14
2020-04-27,2020-05-15,20
2020-04-28,2020-05-15,13
2020-04-29,2020-05-15,15
2020-04-30,2020-05-15,20
2020-05-01,2020-05-15,15
2020-05-02,2020-05-15,12
2020-05-03,2020-05-15,17
2020-05-04,2020-05-15,14
2020-05-05,2020-05-15,19
2020-05-06,2020-05-15,14
2020-05-07,2020-05-15,17
2020-05-08,2020-05-15,19
2020-05-09,2020-05-15,4
2020-05-10,2020-05-15,14
2020-05-11,2020-05-15,4
2020-05-12,2020-05-15,5
2020-05-13,2020-05-15,4
2020-05-14,2020-05-15,1
2020-03-17,2020-05-16,1
2020-03-19,2020-05-16,2
2020-03-20,2020-05-16,2
2020-03-21,2020-05-16,0
2020-03-22,2020-05-16,1
2020-03-23,2020-05-16,4
2020-03-24,2020-05-16,1
2020-03-25,2020-05-16,4
2020-03-26,2020-05-16,7
2020-03-27,2020-05-16,7
2020-03-28,2020-05-16,6
2020-03-29,2020-05-16,6
2020-03-30,2020-05-16,7
2020-03-31,2020-05-16,12
2020-04-01,2020-05-16,10
2020-04-02,2020-05-16,6
2020-04-03,2020-05-16,10
2020-04-04,2020-05-16,6
2020-04-05,2020-05-16,11
2020-04-06,2020-05-16,12
2020-04-07,2020-05-16,15
2020-04-08,2020-05-16,10
2020-04-09,2020-05-16,12
2020-04-10,2020-05-16,16
2020-04-11,2020-05-16,20
2020-04-12,2020-05-16,18
2020-04-13,2020-05-16,14
2020-04-14,2020-05-16,17
2020-04-15,2020-05-16,14
2020-04-16,2020-05-16,17
2020-04-17,2020-05-16,14
2020-04-18,2020-05-16,15
2020-04-19,2020-05-16,22
2020-04-20,2020-05-16,22
2020-04-21,2020-05-16,10
2020-04-22,2020-05-16,13
2020-04-23,2020-05-16,22
2020-04-24,2020-05-16,12
2020-04-25,2020-05-16,14
2020-04-26,2020-05-16,14
2020-04-27,2020-05-16,20
2020-04-28,2020-05-16,15
2020-04-29,2020-05-16,15
2020-04-30,2020-05-16,22
2020-05-01,2020-05-16,14
2020-05-02,2020-05-16,12
2020-05-03,2020-05-16,17
2020-05-04,2020-05-16,15
2020-05-05,2020-05-16,20
2020-05-06,2020-05-16,17
2020-05-07,2020-05-16,19
2020-05-08,2020-05-16,21
2020-05-09,2020-05-16,5
2020-05-10,2020-05-16,16
2020-05-11,2020-05-16,4
2020-05-12,2020-05-16,7
