"POSTCODE","ConfirmedCases","ConfirmedCaseCount","LowCase","HighCase","population","hh_pop","med_inc","med_age","per1k_low","per1k_high","ALAND10","NUMHospitals","SQMILE","pop_density","zip_class","HasHospital"
"86044","Data Suppressed","Data Suppressed",0,0,3362,976,18723,30,0,0,2606389122,0,1006.33246601974,0.969858404608857,"Rural",FALSE
"86046","1-5","1-5",1,5,5266,2427,52426,52.2,0.412031314379893,2.06015657189946,3785141373,0,1461.45125452393,1.66067803663462,"Rural",FALSE
"86053","Data Suppressed","Data Suppressed",0,0,2287,550,42222,25.7,0,0,1885678964,0,728.064718328603,0.755427348907415,"Rural",FALSE
"86054","Data Suppressed","Data Suppressed",0,0,1718,540,28500,38.1,0,0,1080990779,0,417.372873142181,1.29380713206065,"Rural",FALSE
"86301","6-10","6-10",6,10,22919,9843,51665,53.3,0.609570252971655,1.01595042161943,80130664,1,30.9386223362695,318.146034203372,"Suburban",TRUE
"86305","1-5","1-5",1,5,18204,8064,62431,59.1,0.124007936507936,0.620039682539683,3242557912,0,1251.95860903949,6.44110751088389,"Rural",FALSE
"86303","0","0",0,0,17194,8269,55334,58,0,0,345996835,0,133.590124844211,61.8982878385888,"Rural",FALSE
"86314","6-10","6-10",6,10,38932,15323,47568,41.6,0.391568230764211,0.652613717940351,187135114,0,72.253271455491,212.073442369169,"Suburban",FALSE
"86315","6-10","6-10",6,10,7676,3247,52180,55.3,1.84785956267324,3.07976593778873,157490608,0,60.8074636998074,53.3980502135346,"Rural",FALSE
"86320","0","0",0,0,2045,843,28220,45.5,0,0,2412764014,0,931.573393871885,0.904920648813564,"Rural",FALSE
"86321","0","0",0,0,2217,772,81837,32.9,0,0,762116644,0,294.254881313615,2.62357584877991,"Rural",FALSE
"86322","1-5","1-5",1,5,12002,4283,41993,42.8,0.233481204763017,1.16740602381508,1000460618,0,386.280004151879,11.0878118307051,"Rural",FALSE
"86323","1-5","1-5",1,5,16394,6864,48986,53.1,0.145687645687646,0.728438228438228,366934883,0,141.674350372789,48.4491369251999,"Rural",FALSE
"86324","1-5","1-5",1,5,4589,2292,49115,58.5,0.43630017452007,2.18150087260035,433030273,0,167.193923121849,13.7086322110501,"Rural",FALSE
"86325","1-5","1-5",1,5,5449,2492,53315,59.9,0.401284109149278,2.00642054574639,155326163,0,59.9717668132494,41.5528861732559,"Rural",FALSE
"86326","Greater Than 10","13",13,13,25015,10352,43337,47.6,1.25579598145286,1.25579598145286,140135221,1,54.1065113166748,191.32632557682,"Suburban",TRUE
"86327","1-5","1-5",1,5,9010,4205,51318,62.7,0.237812128418549,1.18906064209275,518276222,0,200.107568038205,21.0136979886596,"Rural",FALSE
"86331","0","0",0,0,445,227,43523,51.9,0,0,112659707,0,43.4981560540641,5.21861201927411,"Rural",FALSE
"86332","0","0",0,0,1810,832,38693,58.9,0,0,1265231520,0,488.50862093473,1.70314292183426,"Rural",FALSE
"86333","1-5","1-5",1,5,7417,2630,45000,47.1,0.380228136882129,1.90114068441065,1277544437,0,493.26266476645,5.33184485236735,"Rural",FALSE
"86334","1-5","1-5",1,5,4351,1760,42500,42,0.568181818181818,2.84090909090909,588569479,0,227.247946297261,7.74484446912341,"Rural",FALSE
"86335","0","0",0,0,5364,2238,41134,52.9,0,0,479936506,0,185.304520932495,12.0774171549505,"Rural",FALSE
"86336","1-5","1-5",1,5,11788,6181,59212,60.1,0.161786118751011,0.808930593755056,582458478,0,224.888475620274,27.4847343019777,"Rural",FALSE
"86337","0","0",0,0,1305,567,30580,51.3,0,0,3147077353,0,1215.09335911024,0.46663081132728,"Rural",FALSE
"86351","6-10","6-10",6,10,6323,3252,56693,64.1,1.8450184501845,3.0750307503075,103881680,0,40.1089408815731,81.0791790688753,"Rural",FALSE
"86343","0","0",0,0,68,46,NA,63.2,0,0,265620138,0,102.556508635568,0.448533209759118,"Rural",FALSE
"86401","6-10","6-10",6,10,25709,9984,46957,44.7,0.600961538461539,1.00160256410256,2876948332,0,1110.79596101573,8.98814935451375,"Rural",FALSE
"86403","6-10","6-10",6,10,18119,7525,43932,48.7,0.79734219269103,1.32890365448505,25951074,1,10.019765688034,751.015566061254,"Suburban",TRUE
"86409","Greater Than 10","11",11,11,28158,11232,38532,47.3,0.979344729344729,0.979344729344729,920030227,1,355.225656573934,31.6193377143136,"Rural",TRUE
"86411","0","0",0,0,217,138,37250,62.3,0,0,1078672495,0,416.477778685655,0.331350211373842,"Rural",FALSE
"86413","1-5","1-5",1,5,12574,5231,37075,55.9,0.191168036704263,0.955840183521315,1825922217,0,704.992509324107,7.41993699339455,"Rural",FALSE
"86426","0","0",0,0,14587,6126,46743,50,0,0,93845824,1,36.2340752170981,169.067375482768,"Suburban",TRUE
"86429","0","0",0,0,7743,3549,46806,56.1,0,0,216885384,0,83.7399149198712,42.3812229018379,"Rural",FALSE
"86432","0","0",0,0,3735,1603,36051,57.2,0,0,8345838149,0,3222.34612421958,0.497463629978058,"Rural",FALSE
"86433","0","0",0,0,0,0,NA,NA,NA,NA,439063430,0,169.523338062406,0,"Rural",FALSE
"86434","Data Suppressed","Data Suppressed",0,0,1657,451,38047,30.8,0,0,2024321623,0,781.594948235311,0.577025223894128,"Rural",FALSE
"86435","Data Suppressed","Data Suppressed",0,0,15,3,NA,27.2,0,0,3222821912,0,1244.33849683839,0.00241091954289158,"Rural",FALSE
"86436","0","0",0,0,1079,622,26673,62.1,0,0,288711377,0,111.472085857011,5.57987226324857,"Rural",FALSE
