date,20-34_Maricopa,35-44_Maricopa,45-54_Maricopa,55-64_Maricopa,65+_Maricopa,<20_Maricopa
6/16/2021,384014,285285,308828,348116,604804,122266
6/17/2021,384969,285899,309356,348506,605087,123283
6/18/2021,386296,286644,310052,349013,605422,124417
6/19/2021,387001,287121,310484,349302,605593,125136
6/2/2021,369124,276255,300333,342246,600652,104993
6/20/2021,387445,287362,310707,349475,605661,125478
6/21/2021,388393,287896,311264,349838,605934,126465
6/22/2021,389297,288392,311766,350155,606250,127399
6/23/2021,390202,288953,312244,350515,606558,128338
6/24/2021,391010,289455,312755,350896,606856,129270
6/25/2021,392123,290153,313412,351379,607194,130205
6/26/2021,392897,290605,313900,351694,607368,130806
6/27/2021,393402,290925,314193,351897,607442,131267
6/28/2021,394352,291486,314755,352268,607738,132288
6/29/2021,395246,292006,315252,352611,607997,133164
6/3/2021,370512,277057,301099,342794,601078,106475
6/30/2021,396123,292561,315741,352984,608301,134054
6/4/2021,372002,278013,302033,343452,601551,108080
6/5/2021,373138,278760,302701,343923,601829,109600
6/6/2021,373760,279067,303055,344139,601952,110256
6/7/2021,374939,279743,303656,344604,602323,111479
6/8/2021,376060,280309,304218,345062,602655,112597
6/9/2021,377075,280900,304724,345463,603025,113715
7/1/2021,397016,293076,316262,353336,608591,134841
7/10/2021,404387,297530,320684,356384,610481,142743
7/11/2021,404919,297845,320940,356542,610568,143305
7/12/2021,405824,298382,321437,356854,610799,144345
7/13/2021,406615,298823,321875,357123,611035,145335
7/14/2021,407427,299319,322375,357434,611240,146295
7/15/2021,408186,299805,322807,357705,611460,147219
7/16/2021,409347,300535,323508,358168,611767,148476
7/17/2021,410118,301053,323986,358473,611947,149257
7/18/2021,410689,301420,324310,358696,612037,149823
7/19/2021,411754,302131,324956,359173,612362,151178
7/2/2021,398117,293740,316877,353800,608901,135877
7/20/2021,412812,302740,325620,359581,612707,152349
7/21/2021,414056,303489,326309,360027,613069,153648
7/22/2021,415207,304317,327016,360584,613448,155042
7/23/2021,416707,305406,328055,361296,613868,156551
7/24/2021,417821,306167,328889,361822,614106,157536
7/25/2021,418866,306768,329388,362142,614262,158406
7/26/2021,420364,307683,330226,362775,614682,159905
7/27/2021,421807,308566,331046,363338,615093,161409
7/28/2021,423303,309451,331821,363857,615477,162951
7/29/2021,424807,310345,332588,364340,615876,164615
7/3/2021,398861,294216,317323,354136,609074,136533
7/30/2021,426821,311745,333842,365056,616389,166966
7/31/2021,428131,312637,334629,365535,616632,168485
7/4/2021,398995,294287,317411,354194,609100,136642
7/5/2021,399896,294764,317918,354581,609289,137444
7/6/2021,400712,295189,318394,354883,609546,138311
7/7/2021,401558,295681,318832,355238,609790,139271
7/8/2021,402364,296139,319296,355594,610028,140119
7/9/2021,403535,296937,320075,356043,610297,141516
8/1/2021,429230,313304,335161,365915,616810,169355
8/10/2021,443828,322589,342910,371010,620238,181006
8/11/2021,445362,323548,343602,371514,620566,182177
8/12/2021,447006,324532,344443,372053,620996,183317
8/13/2021,448907,325783,345459,372699,621409,184838
8/14/2021,450233,326751,346189,373143,621661,186383
8/15/2021,451038,327220,346578,373369,621775,186917
8/16/2021,452601,328143,347326,373880,622141,187904
8/17/2021,454110,329038,348020,374326,622485,188856
8/18/2021,455497,329860,348641,374766,622801,189761
8/19/2021,456721,330682,349262,375192,623125,190588
8/2/2021,430916,314450,336075,366542,617243,170906
8/20/2021,458230,331644,350085,375700,623456,191887
8/21/2021,459269,332313,350692,376027,623629,193043
8/22/2021,459956,332722,350992,376227,623736,193593
8/23/2021,461350,333561,351643,376698,624103,194482
8/24/2021,462733,334313,352261,377117,624409,195339
8/25/2021,464041,335068,352878,377543,624698,196175
8/26/2021,465394,335834,353499,377968,624987,196929
8/27/2021,466977,336747,354262,378447,625339,198043
8/28/2021,468109,337433,354828,378811,625531,199092
8/29/2021,468782,337827,355145,378967,625629,199472
8/3/2021,432519,315444,336913,367104,617707,172091
8/30/2021,470093,338577,355732,379365,625897,200185
8/31/2021,471278,339233,356246,379716,626183,200832
8/4/2021,434219,316520,337812,367679,618155,173302
8/5/2021,435883,317531,338706,368314,618581,174509
8/6/2021,437953,318924,339942,369036,619050,176260
8/7/2021,439485,319933,340780,369562,619297,177970
8/8/2021,440487,320521,341287,369883,619470,178775
8/9/2021,442187,321551,342131,370461,619899,179971
9/1/2021,472597,339981,356819,380127,626487,201647
9/10/2021,481572,345049,360989,382994,628444,207001
9/11/2021,482573,345586,361424,383281,628602,207782
9/12/2021,483222,345874,361686,383455,628697,208122
9/13/2021,484487,346559,362182,383803,628934,208794
9/14/2021,485597,347127,362658,384111,629173,209309
9/15/2021,486658,347675,363054,384365,629359,209902
9/16/2021,487638,348166,363462,384628,629553,210335
9/17/2021,488890,348875,363951,385007,629790,211062
9/18/2021,489811,349380,364392,385277,629943,211687
9/19/2021,490340,349629,364589,385414,630020,211976
9/2/2021,473749,340617,357341,380460,626804,202266
9/20/2021,491214,350113,364979,385661,630254,212428
9/21/2021,492225,350626,365377,385921,630462,212842
9/22/2021,493137,351110,365791,386199,630680,213363
9/23/2021,494008,351598,366160,386456,630928,213767
9/24/2021,495019,352209,366675,386779,631379,214348
9/25/2021,495766,352613,367051,387010,631699,214832
9/26/2021,496122,352822,367230,387139,631865,215027
9/27/2021,496994,353274,367620,387411,632493,215455
9/28/2021,497823,353730,367971,387643,633103,215886
9/29/2021,498632,354153,368345,387912,633719,216307
9/3/2021,475052,341443,358016,380909,627105,203263
9/30/2021,499448,354606,368646,388155,634336,216589
9/4/2021,475905,341975,358480,381187,627281,203976
9/5/2021,476550,342335,358791,381386,627376,204381
9/6/2021,476718,342435,358893,381467,627412,204483
9/7/2021,477801,343021,359344,381799,627648,205060
9/8/2021,478971,343622,359822,382128,627921,205637
9/9/2021,480108,344220,360309,382500,628154,206166
