date,pcr_tests_LA_PAZ,pcr_pos_tests_LA_PAZ,pcr_positivity_LA_PAZ,ser_tests_LA_PAZ,ser_pos_tests_LA_PAZ,ser_positivity_LA_PAZ
2020-10-29 00:00:00,11,0,0,4,0,0
2020-10-28 00:00:00,14,1,0.0714285714285714,2,0,0
2020-10-27 00:00:00,9,2,0.2222222222222222,1,0,0
2020-10-26 00:00:00,15,0,0,2,0,0
2020-10-25 00:00:00,3,0,0,1,0,0
2020-10-24 00:00:00,2,0,0,1,0,0
2020-10-23 00:00:00,7,0,0,1,0,0
2020-10-22 00:00:00,6,0,0,2,0,0
2020-10-21 00:00:00,12,0,0,,,
2020-10-20 00:00:00,5,0,0,1,0,0
2020-10-19 00:00:00,47,0,0,16,0,0
2020-10-18 00:00:00,2,0,0,,,
2020-10-17 00:00:00,3,0,0,1,0,0
2020-10-16 00:00:00,2,0,0,,,
2020-10-15 00:00:00,12,1,0.0833333333333333,1,0,0
2020-10-14 00:00:00,5,0,0,,,
2020-10-13 00:00:00,8,0,0,,,
2020-10-12 00:00:00,16,1,0.0625,,,
2020-10-11 00:00:00,8,0,0,1,0,0
2020-10-10 00:00:00,5,0,0,,,
2020-10-09 00:00:00,5,0,0,2,0,0
2020-10-08 00:00:00,9,1,0.1111111111111111,,,
2020-10-07 00:00:00,10,3,0.3,,,
2020-10-06 00:00:00,4,0,0,1,0,0
2020-10-05 00:00:00,9,1,0.1111111111111111,1,0,0
2020-10-03 00:00:00,1,0,0,1,0,0
2020-10-02 00:00:00,8,2,0.25,2,0,0
2020-10-01 00:00:00,29,0,0,1,0,0
2020-09-30 00:00:00,5,0,0,,,
2020-09-29 00:00:00,15,0,0,,,
2020-09-28 00:00:00,3,1,0.3333333333333333,,,
2020-09-27 00:00:00,2,1,0.5,,,
2020-09-26 00:00:00,1,0,0,,,
2020-09-25 00:00:00,7,0,0,,,
2020-09-24 00:00:00,11,0,0,,,
2020-09-23 00:00:00,3,0,0,1,0,0
2020-09-22 00:00:00,2,0,0,1,0,0
2020-09-21 00:00:00,7,0,0,1,0,0
2020-09-20 00:00:00,4,0,0,,,
2020-09-19 00:00:00,2,0,0,,,
2020-09-18 00:00:00,6,0,0,3,0,0
2020-09-17 00:00:00,9,1,0.1111111111111111,,,
2020-09-16 00:00:00,10,1,0.1,,,
2020-09-15 00:00:00,5,0,0,,,
