pcr_tests_PINAL,pcr_pos_tests_PINAL,pcr_positivity_PINAL,date,ser_tests_PINAL,ser_pos_tests_PINAL,ser_positivity_PINAL
,,,2020-10-29 00:00:00,89,2,0.0224719101123596
,,,2020-10-28 00:00:00,1976,109,0.0551619433198381
,,,2020-10-28 00:00:00,81,9,0.1111111111111111
,,,2020-10-27 00:00:00,2045,92,0.0449877750611247
,,,2020-10-27 00:00:00,131,15,0.1145038167938931
,,,2020-10-26 00:00:00,1837,114,0.0620577027762657
,,,2020-10-26 00:00:00,114,10,0.087719298245614
,,,2020-10-25 00:00:00,558,58,0.1039426523297491
,,,2020-10-25 00:00:00,66,1,0.0151515151515152
,,,2020-10-24 00:00:00,761,70,0.0919842312746386
,,,2020-10-24 00:00:00,98,5,0.0510204081632653
,,,2020-10-23 00:00:00,1359,80,0.0588668138337013
,,,2020-10-23 00:00:00,198,14,0.0707070707070707
,,,2020-10-22 00:00:00,1646,99,0.0601458080194411
,,,2020-10-22 00:00:00,104,5,0.0480769230769231
,,,2020-10-21 00:00:00,1715,73,0.0425655976676385
,,,2020-10-21 00:00:00,58,9,0.1551724137931035
,,,2020-10-20 00:00:00,1886,84,0.0445387062566278
,,,2020-10-20 00:00:00,113,12,0.1061946902654867
,,,2020-10-19 00:00:00,1543,81,0.0524951393389501
,,,2020-10-19 00:00:00,173,12,0.069364161849711
,,,2020-10-18 00:00:00,558,35,0.0627240143369176
,,,2020-10-18 00:00:00,76,4,0.0526315789473684
,,,2020-10-17 00:00:00,698,44,0.0630372492836676
,,,2020-10-17 00:00:00,129,4,0.0310077519379845
,,,2020-10-16 00:00:00,1507,70,0.046449900464499
,,,2020-10-16 00:00:00,109,9,0.0825688073394496
,,,2020-10-15 00:00:00,1501,83,0.0552964690206529
,,,2020-10-15 00:00:00,96,21,0.21875
,,,2020-10-14 00:00:00,1676,81,0.0483293556085919
,,,2020-10-14 00:00:00,79,4,0.0506329113924051
,,,2020-10-13 00:00:00,1621,59,0.0363972856261567
,,,2020-10-13 00:00:00,121,16,0.1322314049586777
,,,2020-10-12 00:00:00,1552,67,0.0431701030927835
,,,2020-10-12 00:00:00,168,10,0.0595238095238095
,,,2020-10-11 00:00:00,567,53,0.0934744268077601
,,,2020-10-11 00:00:00,73,4,0.0547945205479452
,,,2020-10-10 00:00:00,578,35,0.0605536332179931
,,,2020-10-10 00:00:00,75,5,0.0666666666666667
,,,2020-10-09 00:00:00,1019,70,0.0686947988223749
,,,2020-10-09 00:00:00,149,10,0.0671140939597316
,,,2020-10-08 00:00:00,1819,66,0.0362836723474437
,,,2020-10-08 00:00:00,92,8,0.0869565217391304
