date,pcr_tests_SANTA_CRUZ,pcr_pos_tests_SANTA_CRUZ,pcr_positivity_SANTA_CRUZ,ser_tests_SANTA_CRUZ,ser_pos_tests_SANTA_CRUZ,ser_positivity_SANTA_CRUZ
2020-12-13 00:00:00,97,32,0.3298969072164949,,,
2020-12-12 00:00:00,91,25,0.2747252747252748,,,
2020-12-11 00:00:00,364,69,0.1895604395604396,5.0,2.0,0.4
2020-12-10 00:00:00,373,71,0.1903485254691689,2.0,0.0,0
2020-12-09 00:00:00,588,95,0.1615646258503402,10.0,2.0,0.2
2020-12-08 00:00:00,372,112,0.3010752688172043,3.0,1.0,0.3333333333333333
2020-12-07 00:00:00,368,105,0.2853260869565218,2.0,1.0,0.5
2020-12-06 00:00:00,119,35,0.2941176470588236,,,
2020-12-05 00:00:00,101,34,0.3366336633663367,,,
2020-12-04 00:00:00,432,85,0.1967592592592593,3.0,0.0,0
2020-12-03 00:00:00,413,92,0.2227602905569007,4.0,2.0,0.5
2020-12-02 00:00:00,967,113,0.1168562564632885,3.0,0.0,0
2020-12-01 00:00:00,275,69,0.2509090909090909,2.0,1.0,0.5
2020-11-30 00:00:00,440,132,0.3,6.0,2.0,0.3333333333333333
2020-11-29 00:00:00,52,12,0.2307692307692308,1.0,0.0,0
2020-11-28 00:00:00,125,35,0.2800000000000001,1.0,0.0,0
2020-11-27 00:00:00,157,27,0.1719745222929936,1.0,0.0,0
2020-11-26 00:00:00,29,13,0.4482758620689655,,,
2020-11-25 00:00:00,807,116,0.1437422552664189,1.0,0.0,0
2020-11-24 00:00:00,209,56,0.2679425837320575,7.0,1.0,0.1428571428571429
2020-11-23 00:00:00,370,66,0.1783783783783784,3.0,0.0,0
2020-11-22 00:00:00,75,14,0.1866666666666667,,,
2020-11-21 00:00:00,122,28,0.2295081967213115,3.0,1.0,0.3333333333333333
2020-11-20 00:00:00,374,77,0.2058823529411765,5.0,4.0,0.8
2020-11-19 00:00:00,328,61,0.1859756097560976,4.0,1.0,0.25
2020-11-18 00:00:00,656,62,0.0945121951219512,1.0,1.0,1
2020-11-17 00:00:00,217,58,0.2672811059907834,6.0,1.0,0.1666666666666667
2020-11-16 00:00:00,319,85,0.2664576802507837,9.0,0.0,0
2020-11-15 00:00:00,59,7,0.1186440677966102,3.0,1.0,0.3333333333333333
2020-11-14 00:00:00,95,16,0.168421052631579,3.0,1.0,0.3333333333333333
2020-11-13 00:00:00,413,35,0.0847457627118644,3.0,0.0,0
2020-11-12 00:00:00,761,46,0.0604467805519054,5.0,3.0,0.6
2020-11-11 00:00:00,139,22,0.158273381294964,1.0,1.0,1
2020-11-10 00:00:00,343,39,0.1137026239067055,2.0,0.0,0
2020-11-09 00:00:00,208,30,0.1442307692307692,5.0,2.0,0.4
2020-11-08 00:00:00,89,12,0.1348314606741573,3.0,0.0,0
2020-11-07 00:00:00,70,10,0.1428571428571429,3.0,0.0,0
2020-11-06 00:00:00,154,15,0.0974025974025974,,,
2020-11-05 00:00:00,234,25,0.1068376068376068,1.0,1.0,1
2020-11-04 00:00:00,458,20,0.0436681222707424,2.0,1.0,0.5
2020-11-03 00:00:00,136,14,0.1029411764705882,3.0,0.0,0
2020-11-02 00:00:00,135,14,0.1037037037037037,4.0,0.0,0
2020-11-01 00:00:00,36,5,0.1388888888888889,3.0,2.0,0.6666666666666666
2020-10-31 00:00:00,62,6,0.0967741935483871,,,
2020-10-30 00:00:00,115,8,0.0695652173913044,3.0,1.0,0.3333333333333333
2020-10-29 00:00:00,142,18,0.1267605633802817,6.0,2.0,0.3333333333333333
2020-10-28 00:00:00,443,13,0.0293453724604966,,,
2020-10-27 00:00:00,126,12,0.0952380952380952,4.0,1.0,0.25
2020-10-26 00:00:00,162,24,0.1481481481481482,2.0,0.0,0
2020-10-25 00:00:00,45,6,0.1333333333333333,1.0,1.0,1
2020-10-24 00:00:00,92,8,0.0869565217391304,,,
2020-10-23 00:00:00,314,11,0.035031847133758,1.0,0.0,0
2020-10-22 00:00:00,112,6,0.0535714285714286,1.0,0.0,0
2020-10-21 00:00:00,485,9,0.0185567010309278,3.0,0.0,0
2020-10-20 00:00:00,139,4,0.0287769784172662,6.0,1.0,0.1666666666666667
2020-10-19 00:00:00,140,8,0.0571428571428571,3.0,1.0,0.3333333333333333
2020-10-18 00:00:00,24,2,0.0833333333333333,2.0,0.0,0
2020-10-17 00:00:00,42,3,0.0714285714285714,1.0,0.0,0
2020-10-16 00:00:00,148,11,0.0743243243243243,4.0,2.0,0.5
2020-10-15 00:00:00,118,5,0.0423728813559322,3.0,0.0,0
2020-10-14 00:00:00,391,6,0.0153452685421995,5.0,1.0,0.2
2020-10-13 00:00:00,101,7,0.0693069306930693,6.0,0.0,0
2020-10-12 00:00:00,113,11,0.0973451327433628,6.0,2.0,0.3333333333333333
2020-10-11 00:00:00,35,5,0.1428571428571429,,,
2020-10-10 00:00:00,34,1,0.0294117647058824,1.0,0.0,0
2020-10-09 00:00:00,586,13,0.0221843003412969,4.0,0.0,0
2020-10-08 00:00:00,616,6,0.0097402597402597,6.0,0.0,0
2020-10-07 00:00:00,680,5,0.0073529411764706,4.0,0.0,0
2020-10-06 00:00:00,508,8,0.015748031496063,5.0,0.0,0
2020-10-05 00:00:00,112,6,0.0535714285714286,,,
2020-10-04 00:00:00,40,1,0.025,1.0,0.0,0
2020-10-03 00:00:00,35,4,0.1142857142857143,,,
2020-10-02 00:00:00,123,4,0.032520325203252,4.0,1.0,0.25
2020-10-01 00:00:00,124,6,0.0483870967741936,3.0,0.0,0
2020-09-30 00:00:00,408,7,0.017156862745098,3.0,0.0,0
2020-09-29 00:00:00,84,3,0.0357142857142857,8.0,1.0,0.125
2020-09-28 00:00:00,86,4,0.0465116279069767,4.0,0.0,0
2020-09-27 00:00:00,23,3,0.1304347826086957,1.0,0.0,0
2020-09-26 00:00:00,33,3,0.0909090909090909,5.0,1.0,0.2
2020-09-25 00:00:00,245,6,0.0244897959183673,3.0,0.0,0
2020-09-24 00:00:00,132,9,0.0681818181818182,7.0,1.0,0.1428571428571429
2020-09-23 00:00:00,355,4,0.0112676056338028,18.0,3.0,0.1666666666666667
2020-09-22 00:00:00,71,6,0.0845070422535211,6.0,1.0,0.1666666666666667
2020-09-21 00:00:00,93,2,0.021505376344086,6.0,0.0,0
2020-09-20 00:00:00,14,0,0,2.0,0.0,0
2020-09-19 00:00:00,13,1,0.0769230769230769,2.0,0.0,0
2020-09-18 00:00:00,78,5,0.0641025641025641,6.0,2.0,0.3333333333333333
2020-09-17 00:00:00,119,3,0.0252100840336134,8.0,0.0,0
2020-09-16 00:00:00,423,3,0.0070921985815603,2.0,1.0,0.5
2020-09-15 00:00:00,56,4,0.0714285714285714,2.0,1.0,0.5
2020-09-14 00:00:00,87,6,0.0689655172413793,7.0,1.0,0.1428571428571429
2020-09-13 00:00:00,29,7,0.2413793103448276,3.0,2.0,0.6666666666666666
2020-09-12 00:00:00,33,3,0.0909090909090909,2.0,0.0,0
2020-09-11 00:00:00,88,2,0.0227272727272727,3.0,1.0,0.3333333333333333
2020-09-10 00:00:00,119,0,0,3.0,0.0,0
2020-09-09 00:00:00,85,4,0.0470588235294118,4.0,1.0,0.25
2020-09-08 00:00:00,81,4,0.0493827160493827,8.0,0.0,0
2020-09-07 00:00:00,15,1,0.0666666666666667,4.0,1.0,0.25
2020-09-06 00:00:00,6,0,0,,,
2020-09-05 00:00:00,15,0,0,2.0,0.0,0
2020-09-04 00:00:00,72,1,0.0138888888888889,4.0,0.0,0
2020-09-03 00:00:00,69,5,0.072463768115942,12.0,4.0,0.3333333333333333
2020-09-02 00:00:00,90,0,0,3.0,0.0,0
2020-09-01 00:00:00,72,7,0.0972222222222222,8.0,1.0,0.125
2020-08-31 00:00:00,49,2,0.0408163265306122,10.0,3.0,0.3
2020-08-30 00:00:00,34,4,0.1176470588235294,3.0,0.0,0
2020-08-29 00:00:00,30,1,0.0333333333333333,6.0,2.0,0.3333333333333333
2020-08-28 00:00:00,122,4,0.0327868852459016,7.0,1.0,0.1428571428571429
2020-08-27 00:00:00,146,4,0.0273972602739726,2.0,0.0,0
2020-08-26 00:00:00,100,4,0.04,2.0,0.0,0
2020-08-25 00:00:00,75,7,0.0933333333333333,5.0,0.0,0
2020-08-24 00:00:00,67,2,0.0298507462686567,5.0,0.0,0
2020-08-23 00:00:00,19,1,0.0526315789473684,,,
2020-08-22 00:00:00,34,1,0.0294117647058824,1.0,0.0,0
2020-08-21 00:00:00,142,11,0.0774647887323944,12.0,5.0,0.4166666666666667
2020-08-20 00:00:00,177,5,0.0282485875706215,1.0,0.0,0
2020-08-19 00:00:00,84,2,0.0238095238095238,6.0,0.0,0
2020-08-18 00:00:00,110,7,0.0636363636363636,3.0,0.0,0
2020-08-17 00:00:00,147,4,0.0272108843537415,6.0,0.0,0
2020-08-16 00:00:00,20,1,0.05,1.0,1.0,1
2020-08-15 00:00:00,28,3,0.1071428571428571,5.0,1.0,0.2
2020-08-14 00:00:00,107,7,0.0654205607476636,2.0,0.0,0
2020-08-13 00:00:00,69,3,0.0434782608695652,2.0,0.0,0
2020-08-12 00:00:00,95,6,0.0631578947368421,12.0,3.0,0.25
2020-08-11 00:00:00,93,4,0.043010752688172,12.0,0.0,0
2020-08-10 00:00:00,90,12,0.1333333333333333,7.0,3.0,0.4285714285714286
2020-08-09 00:00:00,17,2,0.1176470588235294,1.0,0.0,0
2020-08-08 00:00:00,33,4,0.1212121212121212,,,
2020-08-07 00:00:00,104,13,0.125,6.0,1.0,0.1666666666666667
2020-08-06 00:00:00,85,9,0.1058823529411765,23.0,1.0,0.0434782608695652
2020-08-05 00:00:00,88,8,0.0909090909090909,7.0,1.0,0.1428571428571429
2020-08-04 00:00:00,80,7,0.0875,10.0,2.0,0.2
2020-08-03 00:00:00,63,6,0.0952380952380952,7.0,3.0,0.4285714285714286
2020-08-02 00:00:00,31,4,0.1290322580645161,3.0,0.0,0
2020-08-01 00:00:00,836,29,0.034688995215311,4.0,3.0,0.75
2020-07-31 00:00:00,813,23,0.028290282902829,9.0,0.0,0
2020-07-30 00:00:00,68,11,0.161764705882353,10.0,4.0,0.4
2020-07-29 00:00:00,91,7,0.0769230769230769,9.0,3.0,0.3333333333333333
2020-07-28 00:00:00,64,8,0.125,10.0,1.0,0.1
