date,20-34_Coconino,35-44_Coconino,45-54_Coconino,55-64_Coconino,65+_Coconino,<20_Coconino
8/6/2021,20963,11137,10593,12355,18893,7121
8/7/2021,21027,11156,10615,12368,18906,7229
8/8/2021,21043,11162,10624,12370,18910,7237
8/9/2021,21069,11180,10634,12387,18922,7282
9/1/2021,21837,11511,10875,12600,19081,7813
9/10/2021,22006,11599,10921,12665,19118,7949
9/11/2021,22030,11611,10929,12671,19126,7982
9/12/2021,22044,11616,10931,12676,19128,7997
9/13/2021,22068,11632,10937,12679,19132,8009
9/14/2021,22095,11641,10944,12682,19136,8024
9/15/2021,22122,11654,10946,12686,19144,8051
9/16/2021,22141,11671,10954,12693,19146,8060
9/17/2021,22178,11681,10963,12705,19151,8078
9/18/2021,22197,11685,10967,12706,19153,8097
9/19/2021,22206,11692,10970,12710,19153,8108
9/2/2021,21860,11520,10878,12609,19086,7828
9/20/2021,22225,11701,10975,12712,19156,8115
9/21/2021,22253,11709,10980,12718,19160,8127
9/22/2021,22279,11731,10987,12726,19166,8146
9/23/2021,22299,11745,10990,12739,19175,8155
9/24/2021,22323,11756,10998,12742,19181,8170
9/25/2021,22347,11767,11003,12746,19187,8188
9/26/2021,22354,11773,11006,12748,19189,8196
9/27/2021,22372,11787,11012,12752,19198,8206
9/28/2021,22396,11796,11018,12757,19208,8212
9/29/2021,22411,11814,11031,12765,19215,8225
9/3/2021,21892,11537,10888,12617,19090,7870
9/30/2021,22442,11825,11038,12778,19225,8231
9/4/2021,21908,11542,10891,12627,19093,7884
9/5/2021,21918,11546,10893,12628,19093,7890
9/6/2021,21922,11549,10894,12629,19093,7891
9/7/2021,21944,11563,10900,12637,19102,7906
9/8/2021,21965,11578,10909,12647,19110,7925
9/9/2021,21990,11588,10912,12655,19117,7930
