pcr_tests_MARICOPA,pcr_pos_tests_MARICOPA,pcr_positivity_MARICOPA,date,ser_tests_MARICOPA,ser_pos_tests_MARICOPA,ser_positivity_MARICOPA
,,,2021-02-07 00:00:00,285,106,0.3719298245614035
,,,2021-02-06 00:00:00,13253,1525,0.1150682864257149
,,,2021-02-06 00:00:00,603,211,0.3499170812603649
,,,2021-02-05 00:00:00,20870,1888,0.0904647819837087
,,,2021-02-05 00:00:00,1181,493,0.4174428450465707
,,,2021-02-04 00:00:00,26313,2118,0.0804925322084141
,,,2021-02-04 00:00:00,1335,562,0.4209737827715356
,,,2021-02-03 00:00:00,26523,2386,0.0899596576556197
,,,2021-02-03 00:00:00,1472,569,0.3865489130434783
,,,2021-02-02 00:00:00,26864,2521,0.0938430613460393
,,,2021-02-02 00:00:00,1382,557,0.4030390738060782
,,,2021-02-01 00:00:00,30874,2874,0.0930880352400078
,,,2021-02-01 00:00:00,1087,474,0.4360625574977001
,,,2021-01-31 00:00:00,12857,1671,0.1299681107567862
,,,2021-01-31 00:00:00,330,119,0.3606060606060606
,,,2021-01-30 00:00:00,16016,2425,0.1514110889110889
,,,2021-01-30 00:00:00,567,206,0.36331569664903
,,,2021-01-29 00:00:00,24715,2972,0.1202508598017398
,,,2021-01-29 00:00:00,1298,549,0.4229583975346688
,,,2021-01-28 00:00:00,30227,3324,0.1099679094848976
,,,2021-01-28 00:00:00,1307,490,0.3749043611323642
,,,2021-01-27 00:00:00,31409,3784,0.120475023082556
,,,2021-01-27 00:00:00,1772,703,0.3967268623024831
,,,2021-01-26 00:00:00,31807,4086,0.1284622881755589
,,,2021-01-26 00:00:00,1579,619,0.3920202659911337
,,,2021-01-25 00:00:00,32711,4039,0.1234752835437621
,,,2021-01-25 00:00:00,1191,484,0.4063811922753988
,,,2021-01-24 00:00:00,15744,2750,0.1746697154471545
,,,2021-01-24 00:00:00,404,132,0.3267326732673268
,,,2021-01-23 00:00:00,19679,3564,0.1811067635550587
,,,2021-01-23 00:00:00,635,237,0.3732283464566929
,,,2021-01-22 00:00:00,29196,4230,0.1448828606658446
,,,2021-01-22 00:00:00,1313,503,0.3830921553693831
,,,2021-01-21 00:00:00,36339,4749,0.1306860397919591
,,,2021-01-21 00:00:00,1570,620,0.3949044585987262
,,,2021-01-20 00:00:00,32268,4725,0.146429899590926
,,,2021-01-20 00:00:00,1238,467,0.3772213247172859
,,,2021-01-19 00:00:00,35547,5383,0.1514333136410949
,,,2021-01-19 00:00:00,1655,649,0.3921450151057402
,,,2021-01-18 00:00:00,33113,4987,0.1506055023706701
,,,2021-01-18 00:00:00,1160,432,0.3724137931034483
,,,2021-01-17 00:00:00,18807,3421,0.1819003562503323
,,,2021-01-17 00:00:00,336,123,0.3660714285714286
,,,2021-01-16 00:00:00,20950,3623,0.1729355608591886
,,,2021-01-16 00:00:00,606,218,0.3597359735973598
,,,2021-01-15 00:00:00,29799,5015,0.1682942380616799
,,,2021-01-15 00:00:00,1370,462,0.3372262773722628
,,,2021-01-14 00:00:00,37986,5583,0.1469752013899858
,,,2021-01-14 00:00:00,1391,474,0.3407620416966211
,,,2021-01-13 00:00:00,36276,5688,0.1567978828977837
,,,2021-01-13 00:00:00,1345,453,0.3368029739776952
,,,2021-01-12 00:00:00,38305,6048,0.1578906148022452
,,,2021-01-12 00:00:00,1516,511,0.3370712401055409
,,,2021-01-11 00:00:00,41710,6481,0.1553824023016063
,,,2021-01-11 00:00:00,1122,432,0.3850267379679144
,,,2021-01-10 00:00:00,21569,3915,0.1815105011822523
,,,2021-01-10 00:00:00,315,93,0.2952380952380953
,,,2021-01-09 00:00:00,26881,5110,0.1900970946021353
,,,2021-01-09 00:00:00,583,156,0.267581475128645
,,,2021-01-08 00:00:00,35199,6090,0.1730162788715589
,,,2021-01-08 00:00:00,1317,441,0.3348519362186788
,,,2021-01-07 00:00:00,41765,6871,0.1645157428468814
,,,2021-01-07 00:00:00,1398,458,0.3276108726752504
,,,2021-01-06 00:00:00,39321,7265,0.1847613234658325
,,,2021-01-06 00:00:00,1470,473,0.3217687074829932
,,,2021-01-05 00:00:00,40904,7615,0.1861676119694895
,,,2021-01-05 00:00:00,1457,504,0.3459162663006178
,,,2021-01-04 00:00:00,42366,7684,0.1813718547892178
,,,2021-01-04 00:00:00,1273,405,0.3181461115475256
,,,2021-01-03 00:00:00,22450,4919,0.2191091314031181
,,,2021-01-03 00:00:00,452,99,0.2190265486725664
,,,2021-01-02 00:00:00,21347,4759,0.222935307068909
,,,2021-01-02 00:00:00,629,157,0.2496025437201908
,,,2021-01-01 00:00:00,14815,3181,0.2147148160647992
,,,2021-01-01 00:00:00,324,82,0.2530864197530865
,,,2020-12-31 00:00:00,34872,6101,0.1749541179169534
,,,2020-12-31 00:00:00,874,231,0.2643020594965675
,,,2020-12-30 00:00:00,39558,7286,0.1841852469791193
,,,2020-12-30 00:00:00,1402,390,0.2781740370898716
,,,2020-12-29 00:00:00,39477,7658,0.1939863718114345
,,,2020-12-29 00:00:00,1343,389,0.2896500372300819
,,,2020-12-28 00:00:00,42277,7465,0.1765735506303664
,,,2020-12-28 00:00:00,1027,328,0.3193768257059396
,,,2020-12-27 00:00:00,22499,4832,0.2147651006711409
,,,2020-12-27 00:00:00,221,65,0.2941176470588236
,,,2020-12-26 00:00:00,14377,3340,0.232315503929888
