date,pcr_tests_GILA,pcr_pos_tests_GILA,pcr_positivity_GILA,ser_tests_GILA,ser_pos_tests_GILA,ser_positivity_GILA
2020-10-10 00:00:00,78,12,0.1538461538461539,7.0,0.0,0
2020-10-09 00:00:00,183,24,0.1311475409836066,19.0,0.0,0
2020-10-08 00:00:00,266,25,0.093984962406015,9.0,0.0,0
2020-10-07 00:00:00,159,20,0.1257861635220126,5.0,0.0,0
2020-10-06 00:00:00,235,7,0.0297872340425532,19.0,0.0,0
2020-10-05 00:00:00,272,20,0.0735294117647059,23.0,0.0,0
2020-10-04 00:00:00,70,3,0.0428571428571429,5.0,0.0,0
2020-10-03 00:00:00,74,4,0.0540540540540541,5.0,2.0,0.4
2020-10-02 00:00:00,192,16,0.0833333333333333,26.0,2.0,0.0769230769230769
2020-10-01 00:00:00,157,12,0.0764331210191083,19.0,1.0,0.0526315789473684
2020-09-30 00:00:00,181,32,0.1767955801104972,4.0,2.0,0.5
2020-09-29 00:00:00,361,61,0.1689750692520776,19.0,1.0,0.0526315789473684
2020-09-28 00:00:00,172,19,0.1104651162790698,20.0,0.0,0
2020-09-27 00:00:00,72,15,0.2083333333333334,4.0,0.0,0
2020-09-26 00:00:00,77,17,0.2207792207792208,19.0,0.0,0
2020-09-25 00:00:00,109,10,0.0917431192660551,16.0,0.0,0
2020-09-24 00:00:00,141,3,0.0212765957446809,17.0,3.0,0.1764705882352941
2020-09-23 00:00:00,106,3,0.0283018867924528,4.0,0.0,0
2020-09-22 00:00:00,259,15,0.0579150579150579,15.0,1.0,0.0666666666666667
2020-09-21 00:00:00,172,12,0.0697674418604651,17.0,3.0,0.1764705882352941
2020-09-20 00:00:00,75,7,0.0933333333333333,3.0,0.0,0
2020-09-19 00:00:00,66,12,0.1818181818181818,3.0,0.0,0
2020-09-18 00:00:00,102,5,0.0490196078431373,15.0,0.0,0
2020-09-17 00:00:00,164,8,0.0487804878048781,16.0,0.0,0
2020-09-16 00:00:00,137,10,0.072992700729927,6.0,2.0,0.3333333333333333
2020-09-15 00:00:00,146,11,0.0753424657534247,20.0,0.0,0
2020-09-14 00:00:00,156,7,0.0448717948717949,28.0,6.0,0.2142857142857143
2020-09-13 00:00:00,37,1,0.027027027027027,4.0,1.0,0.25
2020-09-12 00:00:00,57,3,0.0526315789473684,7.0,0.0,0
2020-09-11 00:00:00,58,2,0.0344827586206897,18.0,2.0,0.1111111111111111
2020-09-10 00:00:00,100,9,0.09,7.0,1.0,0.1428571428571429
2020-09-09 00:00:00,99,9,0.0909090909090909,14.0,0.0,0
2020-09-08 00:00:00,122,7,0.0573770491803279,25.0,1.0,0.04
2020-09-07 00:00:00,65,4,0.0615384615384615,2.0,0.0,0
2020-09-06 00:00:00,78,11,0.141025641025641,6.0,0.0,0
2020-09-05 00:00:00,36,7,0.1944444444444445,4.0,0.0,0
2020-09-04 00:00:00,99,6,0.0606060606060606,16.0,4.0,0.25
2020-09-03 00:00:00,79,7,0.0886075949367089,4.0,1.0,0.25
2020-09-02 00:00:00,76,2,0.0263157894736842,6.0,2.0,0.3333333333333333
2020-09-01 00:00:00,103,9,0.087378640776699,22.0,2.0,0.0909090909090909
2020-08-31 00:00:00,111,9,0.0810810810810811,25.0,1.0,0.04
2020-08-30 00:00:00,43,3,0.0697674418604651,4.0,0.0,0
2020-08-29 00:00:00,26,2,0.0769230769230769,2.0,0.0,0
2020-08-28 00:00:00,79,5,0.0632911392405063,24.0,1.0,0.0416666666666667
2020-08-27 00:00:00,64,3,0.046875,9.0,1.0,0.1111111111111111
2020-08-26 00:00:00,87,4,0.0459770114942529,7.0,1.0,0.1428571428571429
2020-08-25 00:00:00,133,4,0.0300751879699248,14.0,1.0,0.0714285714285714
2020-08-24 00:00:00,112,5,0.0446428571428571,26.0,1.0,0.0384615384615385
2020-08-23 00:00:00,61,5,0.0819672131147541,6.0,0.0,0
2020-08-22 00:00:00,70,6,0.0857142857142857,4.0,1.0,0.25
2020-08-21 00:00:00,92,9,0.0978260869565217,18.0,1.0,0.0555555555555556
2020-08-20 00:00:00,116,9,0.0775862068965517,10.0,2.0,0.2
2020-08-19 00:00:00,106,3,0.0283018867924528,1.0,0.0,0
2020-08-18 00:00:00,189,9,0.0476190476190476,21.0,1.0,0.0476190476190476
2020-08-17 00:00:00,150,14,0.0933333333333333,23.0,0.0,0
2020-08-16 00:00:00,53,6,0.1132075471698113,4.0,1.0,0.25
2020-08-15 00:00:00,42,5,0.1190476190476191,10.0,1.0,0.1
2020-08-14 00:00:00,110,8,0.0727272727272727,17.0,1.0,0.0588235294117647
2020-08-13 00:00:00,73,8,0.1095890410958904,15.0,1.0,0.0666666666666667
2020-08-12 00:00:00,142,18,0.1267605633802817,9.0,1.0,0.1111111111111111
2020-08-11 00:00:00,153,5,0.0326797385620915,31.0,2.0,0.0645161290322581
2020-08-10 00:00:00,150,14,0.0933333333333333,20.0,1.0,0.05
2020-08-09 00:00:00,50,3,0.06,7.0,0.0,0
2020-08-08 00:00:00,59,2,0.0338983050847458,14.0,0.0,0
2020-08-07 00:00:00,120,14,0.1166666666666667,17.0,1.0,0.0588235294117647
2020-08-06 00:00:00,110,5,0.0454545454545455,8.0,2.0,0.25
2020-08-05 00:00:00,137,14,0.1021897810218978,9.0,1.0,0.1111111111111111
2020-08-04 00:00:00,162,20,0.1234567901234568,21.0,1.0,0.0476190476190476
2020-08-03 00:00:00,168,5,0.0297619047619048,21.0,0.0,0
2020-08-02 00:00:00,35,6,0.1714285714285714,9.0,0.0,0
2020-08-01 00:00:00,58,6,0.103448275862069,15.0,0.0,0
2020-07-31 00:00:00,170,8,0.0470588235294118,19.0,0.0,0
2020-07-30 00:00:00,148,20,0.1351351351351352,10.0,3.0,0.3
2020-07-29 00:00:00,132,16,0.1212121212121212,13.0,0.0,0
2020-07-28 00:00:00,207,30,0.1449275362318841,19.0,0.0,0
2020-07-27 00:00:00,167,26,0.155688622754491,29.0,1.0,0.0344827586206897
2020-07-26 00:00:00,73,12,0.1643835616438356,6.0,0.0,0
2020-07-25 00:00:00,52,6,0.1153846153846154,6.0,0.0,0
2020-07-24 00:00:00,114,25,0.2192982456140351,22.0,0.0,0
2020-07-23 00:00:00,78,20,0.2564102564102564,14.0,1.0,0.0714285714285714
2020-07-22 00:00:00,98,17,0.1734693877551021,6.0,1.0,0.1666666666666667
2020-07-21 00:00:00,219,20,0.091324200913242,27.0,5.0,0.1851851851851852
2020-07-20 00:00:00,216,38,0.1759259259259259,25.0,2.0,0.08
2020-07-19 00:00:00,60,16,0.2666666666666667,9.0,0.0,0
2020-07-18 00:00:00,62,10,0.1612903225806452,12.0,0.0,0
2020-07-17 00:00:00,173,18,0.1040462427745665,19.0,1.0,0.0526315789473684
2020-07-16 00:00:00,166,24,0.1445783132530121,10.0,0.0,0
2020-07-15 00:00:00,214,19,0.088785046728972,19.0,2.0,0.1052631578947368
2020-07-14 00:00:00,194,25,0.1288659793814433,23.0,3.0,0.1304347826086957
2020-07-13 00:00:00,158,24,0.1518987341772152,20.0,0.0,0
2020-07-12 00:00:00,46,6,0.1304347826086957,6.0,0.0,0
2020-07-11 00:00:00,51,2,0.0392156862745098,16.0,0.0,0
2020-07-10 00:00:00,123,11,0.0894308943089431,18.0,0.0,0
2020-07-09 00:00:00,134,21,0.1567164179104478,10.0,1.0,0.1
2020-07-08 00:00:00,121,15,0.1239669421487603,13.0,0.0,0
2020-07-07 00:00:00,227,13,0.0572687224669604,29.0,0.0,0
2020-07-06 00:00:00,177,19,0.1073446327683616,20.0,0.0,0
2020-07-05 00:00:00,62,7,0.1129032258064516,10.0,0.0,0
2020-07-04 00:00:00,79,10,0.1265822784810127,21.0,0.0,0
2020-07-03 00:00:00,146,18,0.1232876712328767,11.0,1.0,0.0909090909090909
2020-07-02 00:00:00,247,20,0.0809716599190283,32.0,4.0,0.125
2020-07-01 00:00:00,230,20,0.0869565217391304,24.0,2.0,0.0833333333333333
2020-06-30 00:00:00,249,20,0.0803212851405623,18.0,1.0,0.0555555555555556
2020-06-29 00:00:00,216,33,0.1527777777777778,33.0,1.0,0.0303030303030303
2020-06-28 00:00:00,48,7,0.1458333333333334,8.0,0.0,0
2020-06-27 00:00:00,49,8,0.163265306122449,14.0,0.0,0
2020-06-26 00:00:00,163,17,0.1042944785276074,30.0,1.0,0.0333333333333333
2020-06-25 00:00:00,170,19,0.111764705882353,8.0,0.0,0
2020-06-24 00:00:00,211,22,0.1042654028436019,27.0,0.0,0
2020-06-23 00:00:00,191,22,0.1151832460732984,22.0,0.0,0
2020-06-22 00:00:00,236,20,0.0847457627118644,20.0,1.0,0.05
2020-06-21 00:00:00,56,10,0.1785714285714286,6.0,0.0,0
