date,pcr_tests_GRAHAM,pcr_pos_tests_GRAHAM,pcr_positivity_GRAHAM,ser_tests_GRAHAM,ser_pos_tests_GRAHAM,ser_positivity_GRAHAM
2020-10-21 00:00:00,87,15,0.1724137931034483,4.0,2.0,0.5
2020-10-20 00:00:00,99,12,0.1212121212121212,,,
2020-10-19 00:00:00,140,20,0.1428571428571429,4.0,0.0,0
2020-10-18 00:00:00,19,6,0.3157894736842105,,,
2020-10-17 00:00:00,21,0,0,,,
2020-10-16 00:00:00,53,6,0.1132075471698113,8.0,0.0,0
2020-10-15 00:00:00,50,8,0.16,1.0,0.0,0
2020-10-14 00:00:00,68,13,0.1911764705882353,2.0,0.0,0
2020-10-13 00:00:00,61,7,0.1147540983606558,,,
2020-10-12 00:00:00,78,15,0.1923076923076923,4.0,0.0,0
2020-10-11 00:00:00,15,1,0.0666666666666667,1.0,0.0,0
2020-10-10 00:00:00,13,1,0.0769230769230769,3.0,2.0,0.6666666666666666
2020-10-09 00:00:00,65,8,0.1230769230769231,3.0,0.0,0
2020-10-08 00:00:00,70,4,0.0571428571428571,2.0,0.0,0
2020-10-07 00:00:00,41,9,0.2195121951219512,1.0,0.0,0
2020-10-06 00:00:00,68,13,0.1911764705882353,2.0,0.0,0
2020-10-05 00:00:00,81,6,0.0740740740740741,3.0,1.0,0.3333333333333333
2020-10-04 00:00:00,6,0,0,,,
2020-10-03 00:00:00,17,2,0.1176470588235294,1.0,0.0,0
2020-10-02 00:00:00,23,5,0.2173913043478261,1.0,0.0,0
2020-10-01 00:00:00,69,8,0.1159420289855073,1.0,0.0,0
2020-09-30 00:00:00,73,6,0.0821917808219178,,,
2020-09-29 00:00:00,94,9,0.0957446808510638,5.0,0.0,0
2020-09-28 00:00:00,122,13,0.1065573770491803,,,
2020-09-27 00:00:00,17,1,0.0588235294117647,1.0,0.0,0
2020-09-26 00:00:00,179,8,0.0446927374301676,,,
2020-09-25 00:00:00,37,2,0.0540540540540541,5.0,1.0,0.2
2020-09-24 00:00:00,60,1,0.0166666666666667,4.0,0.0,0
2020-09-23 00:00:00,37,3,0.0810810810810811,1.0,0.0,0
2020-09-22 00:00:00,48,3,0.0625,2.0,0.0,0
2020-09-21 00:00:00,57,6,0.1052631578947368,2.0,0.0,0
2020-09-20 00:00:00,12,3,0.25,,,
2020-09-19 00:00:00,162,7,0.0432098765432099,2.0,1.0,0.5
2020-09-18 00:00:00,35,3,0.0857142857142857,2.0,0.0,0
2020-09-17 00:00:00,32,1,0.03125,1.0,0.0,0
2020-09-16 00:00:00,25,2,0.08,2.0,0.0,0
2020-09-15 00:00:00,22,0,0,,,
2020-09-14 00:00:00,27,1,0.037037037037037,5.0,0.0,0
2020-09-13 00:00:00,9,0,0,1.0,0.0,0
2020-09-12 00:00:00,16,0,0,,,
2020-09-11 00:00:00,37,3,0.0810810810810811,1.0,0.0,0
2020-09-10 00:00:00,51,1,0.0196078431372549,2.0,0.0,0
2020-09-09 00:00:00,32,1,0.03125,2.0,1.0,0.5
2020-09-08 00:00:00,45,7,0.1555555555555556,6.0,0.0,0
2020-09-07 00:00:00,6,0,0,,,
2020-09-06 00:00:00,10,1,0.1,1.0,1.0,1
2020-09-05 00:00:00,6,1,0.1666666666666667,,,
2020-09-04 00:00:00,35,1,0.0285714285714286,1.0,0.0,0
2020-09-03 00:00:00,47,8,0.1702127659574468,,,
2020-09-02 00:00:00,37,5,0.1351351351351352,3.0,0.0,0
2020-09-01 00:00:00,61,7,0.1147540983606558,1.0,0.0,0
2020-08-31 00:00:00,68,8,0.1176470588235294,1.0,0.0,0
2020-08-30 00:00:00,14,1,0.0714285714285714,,,
2020-08-29 00:00:00,18,3,0.1666666666666667,,,
2020-08-28 00:00:00,26,1,0.0384615384615385,1.0,0.0,0
2020-08-27 00:00:00,44,2,0.0454545454545455,,,
2020-08-26 00:00:00,45,4,0.0888888888888889,1.0,1.0,1
2020-08-25 00:00:00,105,7,0.0666666666666667,,,
2020-08-24 00:00:00,78,4,0.0512820512820513,3.0,0.0,0
2020-08-23 00:00:00,18,3,0.1666666666666667,2.0,0.0,0
2020-08-22 00:00:00,41,5,0.1219512195121951,1.0,0.0,0
2020-08-21 00:00:00,72,23,0.3194444444444444,7.0,0.0,0
2020-08-20 00:00:00,64,11,0.171875,3.0,0.0,0
2020-08-19 00:00:00,49,9,0.1836734693877551,45.0,0.0,0
2020-08-18 00:00:00,82,13,0.1585365853658537,3.0,0.0,0
2020-08-17 00:00:00,61,5,0.0819672131147541,69.0,4.0,0.0579710144927536
2020-08-16 00:00:00,31,4,0.1290322580645161,1.0,0.0,0
2020-08-15 00:00:00,19,7,0.368421052631579,1.0,0.0,0
2020-08-14 00:00:00,33,2,0.0606060606060606,6.0,0.0,0
2020-08-13 00:00:00,39,6,0.1538461538461539,,,
2020-08-12 00:00:00,83,16,0.1927710843373494,6.0,1.0,0.1666666666666667
2020-08-11 00:00:00,51,19,0.3725490196078432,2.0,0.0,0
2020-08-10 00:00:00,63,14,0.2222222222222222,5.0,1.0,0.2
2020-08-09 00:00:00,20,0,0,1.0,1.0,1
2020-08-08 00:00:00,28,3,0.1071428571428571,1.0,0.0,0
2020-08-07 00:00:00,32,5,0.15625,2.0,0.0,0
2020-08-06 00:00:00,37,4,0.1081081081081081,5.0,0.0,0
2020-08-05 00:00:00,58,6,0.103448275862069,3.0,2.0,0.6666666666666666
2020-08-04 00:00:00,56,12,0.2142857142857143,1.0,0.0,0
2020-08-03 00:00:00,89,19,0.2134831460674157,2.0,0.0,0
2020-08-02 00:00:00,19,9,0.4736842105263158,,,
2020-08-01 00:00:00,21,4,0.1904761904761905,1.0,1.0,1
