date,pcr_tests,pcr_pos_test,pcr_positivity,pcr_tests_APACHE,pcr_pos_test_APACHE,pcr_positivity_APACHE,pcr_tests_YUMA,pcr_pos_test_YUMA,pcr_positivity_YUMA,pcr_tests_YAVAPAI,pcr_pos_test_YAVAPAI,pcr_positivity_YAVAPAI,pcr_tests_SANTA_CRUZ,pcr_pos_test_SANTA_CRUZ,pcr_positivity_SANTA_CRUZ,pcr_tests_PINAL,pcr_pos_test_PINAL,pcr_positivity_PINAL,pcr_tests_PIMA,pcr_pos_test_PIMA,pcr_positivity_PIMA,pcr_tests_NAVAJO,pcr_pos_test_NAVAJO,pcr_positivity_NAVAJO,pcr_tests_MOHAVE,pcr_pos_test_MOHAVE,pcr_positivity_MOHAVE,pcr_tests_MARICOPA,pcr_pos_test_MARICOPA,pcr_positivity_MARICOPA,pcr_tests_LA_PAZ,pcr_pos_test_LA_PAZ,pcr_positivity_LA_PAZ,pcr_tests_GREENLEE,pcr_pos_test_GREENLEE,pcr_positivity_GREENLEE,pcr_tests_GRAHAM,pcr_pos_test_GRAHAM,pcr_positivity_GRAHAM,pcr_tests_GILA,pcr_pos_test_GILA,pcr_positivity_GILA,pcr_tests_COCONINO,pcr_pos_test_COCONINO,pcr_positivity_COCONINO,pcr_tests_COCHISE,pcr_pos_test_COCHISE,pcr_positivity_COCHISE
2021-12-13 00:00:00,41530,4322,0.1040693474596677,279.0,27.0,0.0967741935483871,1022.0,85.0,0.0831702544031311,1028.0,147.0,0.1429961089494163,257.0,24.0,0.0933852140077821,3231.0,413.0,0.1278242030331167,6675.0,524.0,0.078501872659176,694.0,109.0,0.1570605187319885,960.0,127.0,0.1322916666666667,22993.0,2547.0,0.1107728439090158,73.0,10.0,0.136986301369863,6.0,1.0,0.1666666666666667,119.0,6.0,0.0504201680672269,482.0,38.0,0.0788381742738589,1208.0,124.0,0.1026490066225166,723.0,89.0,0.1230982019363762
2021-12-12 00:00:00,17570,2297,0.1307342060330108,115.0,6.0,0.0521739130434783,323.0,17.0,0.0526315789473684,401.0,81.0,0.2019950124688279,62.0,5.0,0.0806451612903226,1257.0,207.0,0.1646778042959427,2215.0,285.0,0.1286681715575621,229.0,52.0,0.2270742358078603,304.0,48.0,0.1578947368421053,11643.0,1485.0,0.127544447307395,19.0,4.0,0.2105263157894737,4.0,0.0,0.0,12.0,2.0,0.1666666666666667,45.0,12.0,0.2666666666666667,280.0,40.0,0.1428571428571429,162.0,24.0,0.1481481481481482
2021-12-11 00:00:00,19384,2465,0.1271667354519191,131.0,13.0,0.0992366412213741,290.0,23.0,0.0793103448275862,425.0,83.0,0.1952941176470588,83.0,11.0,0.1325301204819277,1463.0,266.0,0.1818181818181818,2526.0,334.0,0.1322248614410135,175.0,31.0,0.1771428571428571,350.0,80.0,0.2285714285714286,12848.0,1515.0,0.1179171855541719,20.0,1.0,0.05,1.0,0.0,0.0,4.0,0.0,0.0,40.0,6.0,0.15,388.0,37.0,0.095360824742268,202.0,22.0,0.1089108910891089
2021-12-10 00:00:00,32430,3589,0.1106691335183472,192.0,26.0,0.1354166666666667,785.0,66.0,0.0840764331210191,816.0,130.0,0.1593137254901961,178.0,9.0,0.050561797752809,2601.0,379.0,0.1457131872356786,5002.0,510.0,0.1019592163134746,427.0,74.0,0.1733021077283372,581.0,87.0,0.1497418244406196,19476.0,2122.0,0.1089546108030396,38.0,3.0,0.0789473684210526,5.0,0.0,0.0,17.0,0.0,0.0,119.0,11.0,0.092436974789916,742.0,49.0,0.0660377358490566,659.0,73.0,0.1107738998482549
2021-12-09 00:00:00,34971,3567,0.1019987990048898,224.0,21.0,0.09375,689.0,53.0,0.0769230769230769,958.0,117.0,0.1221294363256785,269.0,23.0,0.0855018587360595,2091.0,348.0,0.1664275466284075,5027.0,473.0,0.0940919037199125,570.0,87.0,0.1526315789473684,859.0,83.0,0.0966239813736903,20970.0,2147.0,0.1023843586075346,60.0,12.0,0.2,8.0,1.0,0.125,32.0,6.0,0.1875,436.0,29.0,0.0665137614678899,781.0,56.0,0.0717029449423816,864.0,62.0,0.0717592592592593
2021-12-08 00:00:00,36193,4229,0.1168457989113917,398.0,33.0,0.0829145728643216,742.0,62.0,0.0835579514824798,925.0,147.0,0.1589189189189189,297.0,26.0,0.0875420875420876,2439.0,364.0,0.1492414924149242,5490.0,542.0,0.0987249544626594,703.0,113.0,0.1607396870554765,732.0,123.0,0.1680327868852459,20991.0,2514.0,0.1197656138345005,64.0,11.0,0.171875,2.0,0.0,0.0,45.0,10.0,0.2222222222222222,126.0,19.0,0.1507936507936508,954.0,90.0,0.0943396226415094,1004.0,116.0,0.1155378486055777
2021-12-07 00:00:00,40033,4077,0.1018409811905178,268.0,39.0,0.1455223880597015,657.0,59.0,0.0898021308980213,1048.0,159.0,0.1517175572519084,289.0,39.0,0.1349480968858132,2356.0,337.0,0.1430390492359932,5974.0,554.0,0.0927351858051557,485.0,80.0,0.1649484536082474,1189.0,111.0,0.0933557611438183,23648.0,2435.0,0.1029685385656292,65.0,6.0,0.0923076923076923,3.0,0.0,0.0,30.0,2.0,0.0666666666666667,228.0,37.0,0.162280701754386,1031.0,81.0,0.0785645004849661,721.0,87.0,0.1206657420249653
2021-12-06 00:00:00,43146,4777,0.1107171000788022,362.0,42.0,0.1160220994475138,822.0,63.0,0.0766423357664234,941.0,149.0,0.1583421891604676,268.0,31.0,0.1156716417910448,2929.0,434.0,0.1481734380334585,6821.0,608.0,0.0891364902506964,684.0,98.0,0.1432748538011696,896.0,117.0,0.1305803571428572,24790.0,2902.0,0.1170633319887051,92.0,17.0,0.1847826086956522,2.0,0.0,0.0,37.0,0.0,0.0,515.0,39.0,0.0757281553398058,1332.0,118.0,0.0885885885885886,1040.0,102.0,0.0980769230769231
2021-12-05 00:00:00,18059,2529,0.1400409767982723,134.0,17.0,0.1268656716417911,270.0,20.0,0.0740740740740741,402.0,104.0,0.2587064676616916,39.0,6.0,0.1538461538461539,1299.0,244.0,0.1878367975365666,2439.0,362.0,0.1484214842148421,195.0,31.0,0.158974358974359,289.0,55.0,0.1903114186851211,12105.0,1580.0,0.1305245766212309,25.0,2.0,0.08,1.0,0.0,0.0,12.0,3.0,0.25,59.0,11.0,0.1864406779661017,229.0,26.0,0.1135371179039301,183.0,27.0,0.1475409836065574
2021-12-04 00:00:00,19539,2890,0.1479093095859563,138.0,15.0,0.108695652173913,255.0,17.0,0.0666666666666667,486.0,116.0,0.2386831275720165,70.0,13.0,0.1857142857142857,1693.0,284.0,0.1677495569994093,2848.0,417.0,0.1464185393258427,207.0,44.0,0.21256038647343,411.0,70.0,0.170316301703163,12244.0,1764.0,0.1440705651747795,10.0,1.0,0.1,3.0,1.0,0.3333333333333333,11.0,2.0,0.1818181818181818,85.0,8.0,0.0941176470588235,391.0,47.0,0.1202046035805627,290.0,47.0,0.1620689655172414
2021-12-03 00:00:00,36420,4228,0.1160900604063701,223.0,30.0,0.1345291479820628,732.0,59.0,0.0806010928961749,755.0,136.0,0.1801324503311258,209.0,26.0,0.1244019138755981,2596.0,428.0,0.1648690292758089,5535.0,585.0,0.1056910569105691,557.0,95.0,0.170556552962298,665.0,86.0,0.1293233082706767,22283.0,2545.0,0.1142126284611587,64.0,4.0,0.0625,5.0,0.0,0.0,36.0,2.0,0.0555555555555556,242.0,17.0,0.0702479338842975,947.0,84.0,0.08870116156283,781.0,87.0,0.1113956466069142
2021-12-02 00:00:00,37585,4311,0.1147000133031795,351.0,43.0,0.1225071225071225,655.0,62.0,0.0946564885496183,954.0,148.0,0.1551362683438155,238.0,18.0,0.0756302521008403,2578.0,409.0,0.1586501163692785,6033.0,619.0,0.1026023537212001,624.0,94.0,0.1506410256410256,838.0,109.0,0.1300715990453461,21943.0,2542.0,0.1158455999635419,40.0,3.0,0.075,1.0,0.0,0.0,50.0,3.0,0.06,462.0,15.0,0.0324675324675325,914.0,113.0,0.1236323851203501,740.0,80.0,0.1081081081081081
2021-12-01 00:00:00,37918,5018,0.1323382034917454,428.0,49.0,0.1144859813084112,617.0,48.0,0.0777957860615883,889.0,161.0,0.1811023622047244,191.0,29.0,0.1518324607329843,2856.0,424.0,0.1484593837535014,5975.0,685.0,0.1146443514644352,567.0,102.0,0.1798941798941799,799.0,111.0,0.1389236545682103,22179.0,3061.0,0.1380134361332793,56.0,7.0,0.125,4.0,0.0,0.0,46.0,3.0,0.0652173913043478,207.0,38.0,0.1835748792270532,1084.0,139.0,0.1282287822878229,777.0,101.0,0.12998712998713
