date,pcr_tests_MARICOPA,pcr_positivity_MARICOPA,ser_tests_MARICOPA,ser_positivity_MARICOPA
2020-05-20 00:00:00,2460,0.0569105691056911,2783.0,0.0258713618397413
2020-05-19 00:00:00,2869,0.0470547228999651,3101.0,0.0296678490809416
2020-05-18 00:00:00,3860,0.0598445595854922,3113.0,0.0295534853838741
2020-05-17 00:00:00,1703,0.0328831473869642,960.0,0.009375
2020-05-16 00:00:00,5364,0.0367263236390753,1405.0,0.0213523131672598
2020-05-15 00:00:00,3868,0.0571354705274043,3248.0,0.0280172413793103
2020-05-14 00:00:00,3249,0.0572483841181902,2745.0,0.0298724954462659
2020-05-13 00:00:00,3797,0.0376613115617593,2404.0,0.0328618968386023
2020-05-12 00:00:00,4243,0.0447796370492576,2539.0,0.0287514769594329
2020-05-11 00:00:00,3681,0.0559630535180657,2479.0,0.0334812424364663
2020-05-10 00:00:00,1093,0.0567246111619396,309.0,0.0226537216828479
2020-05-09 00:00:00,4641,0.0368455074337427,748.0,0.0200534759358289
2020-05-08 00:00:00,3898,0.034633145202668,3241.0,0.025300833076211
2020-05-07 00:00:00,3695,0.0495263870094723,2727.0,0.0311697836450312
2020-05-06 00:00:00,2619,0.0649102710958381,2643.0,0.0291335603480893
2020-05-05 00:00:00,2610,0.0609195402298851,2903.0,0.0254908715122287
2020-05-04 00:00:00,2660,0.0657894736842105,2860.0,0.0293706293706294
2020-05-03 00:00:00,662,0.0649546827794562,293.0,0.0614334470989761
2020-05-02 00:00:00,2500,0.0452,298.0,0.023489932885906
2020-05-01 00:00:00,2429,0.060930424042816,2547.0,0.0420102080879466
2020-04-30 00:00:00,2118,0.068932955618508,2127.0,0.0272684532204984
2020-04-29 00:00:00,1996,0.0756513026052104,1948.0,0.0308008213552361
2020-04-28 00:00:00,2119,0.0698442661632846,1280.0,0.02734375
2020-04-27 00:00:00,1770,0.0943502824858757,819.0,0.0463980463980464
2020-04-26 00:00:00,374,0.0882352941176471,3.0,0.3333333333333333
2020-04-25 00:00:00,551,0.1107078039927405,14.0,0.0714285714285714
2020-04-24 00:00:00,1464,0.0792349726775956,111.0,0.009009009009009
2020-04-23 00:00:00,1161,0.0551248923341947,16.0,0.125
2020-04-22 00:00:00,1256,0.0573248407643312,4.0,0
2020-04-21 00:00:00,1122,0.0846702317290553,5.0,0.6
2020-04-20 00:00:00,1170,0.1034188034188034,6.0,0.1666666666666667
2020-04-19 00:00:00,377,0.1087533156498674,1.0,0
2020-04-18 00:00:00,403,0.1166253101736973,3.0,0.3333333333333333
2020-04-17 00:00:00,1039,0.0808469682386911,12.0,0.25
2020-04-16 00:00:00,1004,0.0667330677290837,2.0,0
2020-04-15 00:00:00,957,0.0804597701149425,7.0,0.5714285714285714
2020-04-14 00:00:00,985,0.0791878172588832,4.0,0
2020-04-13 00:00:00,995,0.0874371859296483,5.0,0.4
2020-04-12 00:00:00,321,0.059190031152648,,
2020-04-11 00:00:00,378,0.0740740740740741,1.0,0
2020-04-10 00:00:00,865,0.0705202312138728,4.0,0
2020-04-09 00:00:00,993,0.0765357502517623,6.0,0
2020-04-08 00:00:00,850,0.1035294117647059,,
2020-04-07 00:00:00,1008,0.0813492063492064,,
2020-04-06 00:00:00,1266,0.0845181674565561,,
2020-04-05 00:00:00,406,0.0862068965517241,,
2020-04-04 00:00:00,524,0.116412213740458,,
2020-04-03 00:00:00,1051,0.0856327307326356,,
2020-04-02 00:00:00,1166,0.0634648370497427,,
2020-04-01 00:00:00,1090,0.0642201834862385,,
2020-03-31 00:00:00,1109,0.0631199278629396,,
2020-03-30 00:00:00,1179,0.0746395250212044,,
